Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-01-01,APOLLOHOSP,EQ,1129.7,1131.0,1137.0,1119.0,1126.0,1125.9,1128.54,76848,8672599125000.0,2868,45954,0.598
2015-01-02,APOLLOHOSP,EQ,1125.9,1125.05,1139.0,1123.55,1130.9,1127.85,1128.38,172991,19519937735000.0,7890,126990,0.7341
2015-01-05,APOLLOHOSP,EQ,1127.85,1127.85,1144.5,1126.05,1134.0,1131.6,1136.07,137885,15664669869999.998,8162,77441,0.5616
2015-01-06,APOLLOHOSP,EQ,1131.6,1129.55,1135.6,1090.75,1100.0,1097.9,1107.62,164585,18229828505000.0,11623,66776,0.4057
2015-01-07,APOLLOHOSP,EQ,1097.9,1110.0,1114.0,1079.75,1105.55,1106.5,1096.77,208499,22867557200000.0,24528,105950,0.5082
2015-01-08,APOLLOHOSP,EQ,1106.5,1110.05,1139.0,1103.7,1122.9,1126.35,1122.72,228503,25654486330000.0,18900,123304,0.5396
2015-01-09,APOLLOHOSP,EQ,1126.35,1134.3,1136.8,1106.05,1125.0,1124.65,1125.61,148255,16687788794999.998,19905,73941,0.4987
2015-01-12,APOLLOHOSP,EQ,1124.65,1126.0,1129.85,1112.0,1122.9,1118.45,1120.35,59612,6678617030000.0,5668,29071,0.4877
2015-01-13,APOLLOHOSP,EQ,1118.45,1119.0,1157.2,1119.0,1149.15,1150.1,1147.87,327470,37589225340000.0,25842,170609,0.521
2015-01-14,APOLLOHOSP,EQ,1150.1,1154.4,1178.65,1152.0,1158.15,1160.55,1166.65,338840,39530699880000.0,33459,186921,0.5516
2015-01-15,APOLLOHOSP,EQ,1160.55,1162.05,1168.55,1140.0,1151.55,1147.9,1147.4,117612,13494812494999.998,15999,64397,0.5475
2015-01-16,APOLLOHOSP,EQ,1147.9,1155.75,1191.5,1151.8,1185.0,1185.8,1176.83,343994,40482195700000.0,35844,219645,0.6385000000000001
2015-01-19,APOLLOHOSP,EQ,1185.8,1203.0,1209.0,1192.1,1200.0,1200.25,1201.03,417946,50196407685000.0,20565,326640,0.7815000000000001
2015-01-20,APOLLOHOSP,EQ,1200.25,1201.1,1220.0,1195.45,1217.15,1210.7,1208.84,194900,23560232695000.0,14747,133168,0.6833
2015-01-21,APOLLOHOSP,EQ,1210.7,1220.0,1237.95,1212.35,1224.25,1224.9,1225.35,257565,31560756139999.996,18428,184486,0.7162999999999999
2015-01-22,APOLLOHOSP,EQ,1224.9,1224.9,1248.8,1224.9,1241.0,1241.7,1238.37,192743,23868655200000.0,14670,99383,0.5156000000000001
2015-01-23,APOLLOHOSP,EQ,1241.7,1246.0,1307.8,1242.05,1298.0,1294.1,1271.01,241916,30747760270000.0,21799,144568,0.5976
2015-01-27,APOLLOHOSP,EQ,1294.1,1285.0,1367.05,1276.55,1340.1,1349.15,1318.23,372173,49060815145000.0,33790,209205,0.5621
2015-01-28,APOLLOHOSP,EQ,1349.15,1345.0,1439.9,1332.0,1397.0,1421.5,1411.03,473816,66857049115000.0,29678,208420,0.4399
2015-01-29,APOLLOHOSP,EQ,1421.5,1411.0,1416.85,1353.2,1369.3,1359.35,1371.49,228610,31353570580000.0,17603,141577,0.6193
2015-01-30,APOLLOHOSP,EQ,1359.35,1389.95,1390.1,1301.65,1310.0,1313.55,1324.73,294980,39076958285000.0,24350,157937,0.5354
2015-02-02,APOLLOHOSP,EQ,1313.55,1350.0,1359.2,1310.1,1353.0,1349.35,1339.67,202501,27128510070000.0,10418,116797,0.5768
2015-02-03,APOLLOHOSP,EQ,1349.35,1354.0,1356.5,1287.05,1300.0,1296.75,1313.03,161039,21144981195000.0,19869,84661,0.5257000000000001
2015-02-04,APOLLOHOSP,EQ,1296.75,1300.9,1328.35,1298.45,1305.25,1309.5,1313.5,151396,19885935355000.0,10224,78508,0.5186
2015-02-05,APOLLOHOSP,EQ,1309.5,1315.0,1332.0,1288.55,1292.65,1294.65,1311.6,127358,16704309580000.002,11557,67082,0.5267000000000001
2015-02-06,APOLLOHOSP,EQ,1294.65,1299.0,1301.9,1257.55,1267.0,1263.3,1277.71,108730,13892536190000.0,15093,62150,0.5716
2015-02-09,APOLLOHOSP,EQ,1263.3,1250.0,1259.85,1226.9,1229.9,1232.4,1243.47,86314,10732908975000.0,11359,44777,0.5188
2015-02-10,APOLLOHOSP,EQ,1232.4,1226.25,1244.55,1211.0,1220.55,1215.25,1225.12,144598,17714924710000.0,15563,88765,0.6139
2015-02-11,APOLLOHOSP,EQ,1215.25,1221.0,1289.0,1217.5,1281.8,1277.5,1269.52,259947,33000688330000.0,15422,121913,0.469
2015-02-12,APOLLOHOSP,EQ,1277.5,1289.7,1310.0,1272.7,1279.0,1295.15,1293.89,207270,26818545170000.0,9621,81432,0.3929
