Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-01-01,CUMMINSIND,EQ,874.2,868.0,881.0,865.0,870.0,871.7,873.54,27945,2441093560000.0,1212,12411,0.4441
2015-01-02,CUMMINSIND,EQ,871.7,876.8,934.0,874.85,920.0,919.25,917.33,305699,28042554880000.0,9194,189097,0.6186
2015-01-05,CUMMINSIND,EQ,919.25,935.0,960.65,935.0,935.65,937.9,947.92,226708,21490119640000.0,9235,62217,0.27440000000000003
2015-01-06,CUMMINSIND,EQ,937.9,935.0,935.0,902.5,907.7,909.3,915.65,91777,8403582915000.001,3580,43595,0.47500000000000003
2015-01-07,CUMMINSIND,EQ,909.3,910.3,919.0,886.0,897.3,900.05,902.35,73140,6599817235000.0,4683,34973,0.4782
2015-01-08,CUMMINSIND,EQ,900.05,905.0,918.85,887.05,893.0,893.2,897.72,94791,8509623359999.999,5275,49992,0.5274
2015-01-09,CUMMINSIND,EQ,893.2,893.0,903.0,875.0,880.0,876.95,884.01,129845,11478460825000.0,8550,70938,0.5463
2015-01-12,CUMMINSIND,EQ,876.95,880.0,898.0,868.0,872.5,870.65,885.34,172364,15260021544999.998,9240,114833,0.6662
2015-01-13,CUMMINSIND,EQ,870.65,870.8,892.65,870.8,878.8,878.35,881.14,222029,19563753075000.0,7390,187183,0.8431000000000001
2015-01-14,CUMMINSIND,EQ,878.35,877.5,894.75,875.2,878.0,879.1,884.01,74009,6542463910000.0,8634,48572,0.6563
2015-01-15,CUMMINSIND,EQ,879.1,882.0,894.9,882.0,885.15,887.8,888.65,143693,12769305215000.0,7703,117910,0.8206
2015-01-16,CUMMINSIND,EQ,887.8,888.8,911.05,882.65,883.0,888.35,899.87,291702,26249357320000.0,9941,188570,0.6464
2015-01-19,CUMMINSIND,EQ,888.35,890.0,912.0,890.0,893.0,893.0,900.53,172216,15508652185000.0,9546,112447,0.6529
2015-01-20,CUMMINSIND,EQ,893.0,893.0,902.6,881.5,885.3,885.05,892.64,238241,21266287515000.0,43641,152754,0.6412000000000001
2015-01-21,CUMMINSIND,EQ,885.05,882.15,897.2,882.15,897.0,892.4,890.77,78036,6951224915000.001,4572,47795,0.6125
2015-01-22,CUMMINSIND,EQ,892.4,889.05,904.0,882.05,883.0,884.55,889.64,142801,12704189920000.0,4992,96844,0.6781999999999999
2015-01-23,CUMMINSIND,EQ,884.55,888.0,897.5,880.0,882.0,883.0,884.89,147616,13062338935000.0,13525,120014,0.813
2015-01-27,CUMMINSIND,EQ,883.0,883.5,912.0,882.15,895.5,897.1,894.37,391592,35022638220000.0,10999,300322,0.7669
2015-01-28,CUMMINSIND,EQ,897.1,900.0,910.0,893.0,906.05,907.45,903.3,283836,25638853720000.0,9235,190065,0.6696
2015-01-29,CUMMINSIND,EQ,907.45,914.7,914.7,890.0,890.95,892.0,898.0,131943,11848465735000.0,5729,95030,0.7202
2015-01-30,CUMMINSIND,EQ,892.0,895.0,909.5,890.0,890.25,891.7,898.44,177825,15976569910000.0,7342,134998,0.7592
2015-02-02,CUMMINSIND,EQ,891.7,894.4,895.0,880.5,882.05,881.5,884.16,241537,21355742295000.0,11446,203949,0.8444
2015-02-03,CUMMINSIND,EQ,881.5,887.0,919.75,871.65,899.25,903.3,896.67,477429,42809797560000.0,31116,322556,0.6756000000000001
2015-02-04,CUMMINSIND,EQ,903.3,903.35,924.0,902.75,912.0,914.2,915.07,229686,21017943430000.0,9141,138555,0.6032000000000001
2015-02-05,CUMMINSIND,EQ,914.2,916.0,917.0,898.0,900.0,902.75,910.59,108030,9837121115000.0,6868,82627,0.7648999999999999
2015-02-06,CUMMINSIND,EQ,902.75,901.05,915.05,895.0,898.0,899.6,905.67,176826,16014554630000.002,3817,154215,0.8721
2015-02-09,CUMMINSIND,EQ,899.6,898.95,898.95,890.0,895.25,890.3,890.23,159231,14175185385000.0,3803,140032,0.8794
2015-02-10,CUMMINSIND,EQ,890.3,898.7,909.85,885.1,897.9,897.5,898.41,118791,10672246315000.0,2382,100301,0.8443
2015-02-11,CUMMINSIND,EQ,897.5,900.95,906.2,891.0,900.0,899.35,900.62,72165,6499302385000.0,5055,54720,0.7583
2015-02-12,CUMMINSIND,EQ,899.35,902.65,910.0,894.1,904.1,902.35,899.27,314903,28318426460000.004,2839,296727,0.9423
2015-02-13,CUMMINSIND,EQ,902.35,906.0,918.5,901.0,905.5,909.75,909.5,1023122,93053375635000.0,3760,989276,0.9669
2015-02-16,CUMMINSIND,EQ,909.75,907.0,909.0,895.0,899.65,899.15,899.17,120685,10851683780000.0,5052,103316,0.8561
2015-02-18,CUMMINSIND,EQ,899.15,902.0,915.05,898.05,908.55,908.3,908.66,81049,7364601034999.999,5106,54345,0.6705
2015-02-19,CUMMINSIND,EQ,908.3,906.0,915.0,898.0,905.05,909.0,907.84,269943,24506594575000.0,2641,251177,0.9305
2015-02-20,CUMMINSIND,EQ,909.0,911.95,919.0,904.0,904.75,907.05,911.01,65836,5997751050000.0,7172,43797,0.6652
2015-02-23,CUMMINSIND,EQ,907.05,907.15,913.9,895.25,899.0,899.05,899.08,204763,18409878500000.0,3218,190288,0.9293000000000001
2015-02-24,CUMMINSIND,EQ,899.05,902.0,910.0,894.9,901.0,899.95,899.47,629178,56592465600000.0,3282,612216,0.973
2015-02-25,CUMMINSIND,EQ,899.95,901.2,907.0,892.0,893.0,895.2,896.5,186423,16712788935000.0,3499,166987,0.8956999999999999
2015-02-26,CUMMINSIND,EQ,895.2,898.0,898.0,874.4,878.8,876.2,881.65,303578,26764983185000.0,13697,267204,0.8802
2015-02-27,CUMMINSIND,EQ,876.2,879.0,894.85,873.3,890.0,889.7,891.92,328940,29338747739999.996,4646,311161,0.946
2015-02-28,CUMMINSIND,EQ,889.7,891.0,904.85,891.0,895.1,896.55,897.71,61456,5516940195000.0,3015,47346,0.7704000000000001
2015-03-02,CUMMINSIND,EQ,896.55,893.0,922.0,892.0,912.0,913.75,913.66,414567,37877450875000.0,9225,339119,0.818
2015-03-03,CUMMINSIND,EQ,913.75,915.0,927.0,908.4,913.0,914.2,915.91,422640,38710034980000.0,12727,367572,0.8697
2015-03-04,CUMMINSIND,EQ,914.2,912.1,924.45,912.0,917.0,919.75,919.8,242531,22307983360000.0,8289,203101,0.8373999999999999
2015-03-05,CUMMINSIND,EQ,919.75,920.0,920.95,902.65,904.25,907.1,913.31,107544,9822139765000.0,9263,86662,0.8058
2015-03-09,CUMMINSIND,EQ,907.1,910.0,911.85,895.0,898.0,897.35,898.7,211259,18985813360000.0,4026,194384,0.9201
2015-03-10,CUMMINSIND,EQ,897.35,901.0,907.5,895.25,899.0,897.2,900.28,242918,21869315220000.0,12351,220129,0.9062000000000001
2015-03-11,CUMMINSIND,EQ,897.2,899.0,902.3,878.0,883.0,883.8,888.48,66561,5913836970000.0,3515,51216,0.7695000000000001
2015-03-12,CUMMINSIND,EQ,883.8,884.95,915.0,884.85,909.0,908.4,907.8,267467,24280533540000.0,19697,207327,0.7751000000000001
2015-03-13,CUMMINSIND,EQ,908.4,911.0,913.5,875.0,878.0,881.25,884.92,647290,57280181279999.99,17884,558559,0.8629000000000001
2015-03-16,CUMMINSIND,EQ,881.25,883.8,900.0,874.3,879.0,880.15,885.5,98314,8705672834999.999,11343,63489,0.6458
2015-03-17,CUMMINSIND,EQ,880.15,885.0,889.0,871.0,879.0,879.8,882.12,129284,11404455200000.0,7074,100060,0.774
2015-03-18,CUMMINSIND,EQ,879.8,880.0,885.0,860.55,866.0,863.95,870.27,142567,12407173015000.0,10297,117452,0.8238
2015-03-19,CUMMINSIND,EQ,863.95,869.0,883.25,869.0,872.0,871.8,878.02,587870,51616404290000.0,9707,544358,0.9259999999999999
2015-03-20,CUMMINSIND,EQ,871.8,872.0,880.0,865.0,871.0,875.05,873.88,145229,12691207835000.0,12202,120189,0.8276000000000001
2015-03-23,CUMMINSIND,EQ,875.05,879.0,879.0,866.25,869.0,869.65,870.25,661847,57597260929999.99,4002,647576,0.9784
2015-03-24,CUMMINSIND,EQ,869.65,871.0,878.4,841.5,860.0,856.85,858.94,167682,14402913480000.002,8697,122966,0.7333
2015-03-25,CUMMINSIND,EQ,856.85,865.15,870.0,852.0,865.0,865.6,864.05,100476,8681605709999.999,7860,72317,0.7197
2015-03-26,CUMMINSIND,EQ,865.6,863.7,870.05,829.15,836.1,834.0,840.97,1192257,100264864320000.0,8120,1145008,0.9604
2015-03-27,CUMMINSIND,EQ,834.0,847.0,868.75,838.1,864.0,857.45,850.02,111618,9487757230000.0,5103,77984,0.6987000000000001
2015-03-30,CUMMINSIND,EQ,857.45,855.0,872.5,850.0,860.6,860.35,861.81,260353,22437604125000.0,6961,224131,0.8609
2015-03-31,CUMMINSIND,EQ,860.35,868.0,888.0,857.15,875.0,880.65,870.4,127601,11106348075000.0,8801,85699,0.6716
2015-04-01,CUMMINSIND,EQ,880.65,879.0,900.95,874.75,892.0,889.9,891.46,358652,31972258439999.996,17192,320688,0.8941
2015-04-06,CUMMINSIND,EQ,889.9,899.0,899.0,867.8,871.9,871.45,872.98,78633,6864476150000.0,5068,63631,0.8092
2015-04-07,CUMMINSIND,EQ,871.45,877.0,878.0,864.0,870.9,871.95,870.21,225536,19626431435000.0,8114,200247,0.8879000000000001
