'Date','Symbol', 'Series', 'Prev Close', 'Open', 'High', 'Low', 'Last','Close', 'VWAP', 'Volume', 'Turnover', 'Trades', 'Deliverable Volume','%Deliverble Percentage'
2015-01-01,8KMILES,EQ,629.8,633.9,739.95,630.0,725.0,727.3,695.89,327015,22756628460000.0,14398,64636,0.1977
2015-01-02,8KMILES,EQ,727.3,733.4,849.0,730.15,810.1,807.65,796.14,654797,52130772610000.0,31571,75694,0.11560000000000001
2015-01-05,8KMILES,EQ,807.65,817.5,839.0,760.0,782.15,776.25,801.13,248650,19920080970000.0,12183,58602,0.23570000000000002
2015-01-06,8KMILES,EQ,776.25,780.0,863.9,745.5,825.95,820.75,821.91,612257,50321924715000.0,27754,84742,0.1384
2015-01-07,8KMILES,EQ,820.75,838.0,856.7,816.0,824.0,823.2,836.35,343848,28757759580000.0,17044,48032,0.13970000000000002
2015-01-08,8KMILES,EQ,823.2,842.0,924.0,687.05,743.0,738.55,819.5,1631316,133687025359999.98,79134,212958,0.1305
2015-01-09,8KMILES,EQ,738.55,780.0,814.7,742.0,765.0,764.95,774.9,654234,50696834685000.0,27381,100373,0.1534
2015-01-12,8KMILES,EQ,764.95,773.5,777.7,743.1,757.65,758.1,760.26,148265,11272011125000.0,8314,25656,0.17300000000000001
2015-01-13,8KMILES,EQ,758.1,763.95,771.2,735.0,744.35,743.45,753.59,90913,6851115505000.0,4720,25715,0.2829
2015-01-14,8KMILES,EQ,743.45,735.0,752.0,701.15,704.95,707.05,719.79,120709,8688556655000.0,6029,38750,0.321
2015-01-15,8KMILES,EQ,707.05,715.95,733.0,670.0,714.0,711.65,712.5,155760,11097833960000.0,8185,30272,0.19440000000000002
2015-01-16,8KMILES,EQ,711.65,716.9,737.7,696.0,714.95,716.4,719.43,104760,7536798084999.999,5470,19429,0.1855
2015-01-19,8KMILES,EQ,716.4,724.0,735.0,711.0,715.05,716.9,722.02,65841,4753866635000.0,3685,17190,0.2611
2015-01-20,8KMILES,EQ,716.9,720.0,727.6,710.0,710.0,712.15,717.91,41786,2999861145000.0,2193,14043,0.3361
2015-01-21,8KMILES,EQ,712.15,714.0,728.5,679.0,687.0,687.75,703.87,74406,5237201425000.0,3803,25500,0.34270000000000006
2015-01-22,8KMILES,EQ,687.75,688.0,698.8,653.0,664.0,662.95,672.67,63844,4294624575000.0,3617,25800,0.40409999999999996
2015-01-23,8KMILES,EQ,662.95,668.75,684.0,637.2,655.0,653.8,660.4,76822,5073329445000.0,4509,20547,0.2675
2015-01-27,8KMILES,EQ,653.8,656.0,724.95,631.1,715.35,715.7,695.51,259378,18039973190000.0,12961,46243,0.1783
2015-01-28,8KMILES,EQ,715.7,718.0,722.0,685.0,697.1,701.25,705.34,87491,6171048310000.0,4925,19001,0.2172
2015-01-29,8KMILES,EQ,701.25,699.0,721.0,686.05,693.6,696.25,703.11,56755,3990474700000.0,3230,14911,0.2627
2015-01-30,8KMILES,EQ,696.25,700.0,717.0,670.6,671.9,676.1,694.31,54736,3800397029999.9995,3528,15868,0.2899
2015-02-02,8KMILES,EQ,676.1,675.25,707.0,675.25,693.0,692.65,692.76,63324,4386828385000.0,2887,17766,0.2806
2015-02-03,8KMILES,EQ,692.65,697.95,739.0,691.55,724.0,723.25,723.95,169004,12234998750000.0,7180,43295,0.25620000000000004
2015-02-04,8KMILES,EQ,723.25,725.95,732.9,690.65,697.65,696.8,711.27,52040,3701452065000.0,2897,13856,0.2663
2015-02-05,8KMILES,EQ,696.8,699.0,712.95,671.0,681.5,680.95,695.68,43465,3023781570000.0,2752,12616,0.2903
2015-02-06,8KMILES,EQ,680.95,683.0,693.0,655.9,663.0,662.55,675.33,39141,2643296880000.0,2504,11922,0.30460000000000004
2015-02-09,8KMILES,EQ,662.55,655.0,687.0,648.0,678.95,674.15,670.47,49452,3315595460000.0,2456,17196,0.34770000000000006
